req_priority,tech_rank,opport,support_type,source_req,proj_type,type_feature,bu,numProd_line,total_effort,release
1,13,3,1,3,61,2,2,2,9,0
2,11,3,1,15,25,1,4,2,9,1
2,12,0,1,15,38,5,1,2,5,0
2,26,3,1,15,44,1,2,2,7,0
1,4,0,1,4,0,5,4,1,0,1
1,22,0,1,15,23,5,2,3,3,0
0,61,0,1,15,18,5,4,1,0,1
1,14,0,1,15,38,5,4,4,9,1
0,68,0,1,14,55,2,2,1,0,1
1,5,0,1,3,12,2,4,2,10,1
1,10,3,1,15,38,5,4,2,1.1,1
1,33,3,1,15,44,3,1,3,2,0
2,5,0,1,15,44,1,3,3,3.1,0
2,10,3,1,15,38,5,4,1,3,1
1,5,3,1,15,44,1,4,1,2,1
1,14,3,1,15,44,1,2,3,3.3,1
1,56,0,1,14,55,2,4,3,0,0
0,64,0,1,14,55,2,2,2,2,0
1,23,3,1,15,44,1,2,1,5,0
0,2,0,2,1,35,2,4,1,0,1
1,13,3,1,3,61,4,2,5,6.7,1
2,1,0,1,15,10,5,3,2,1,0
1,10,0,1,15,54,5,4,1,3,1
1,20,0,1,15,10,2,3,1,4,0
1,10,0,2,1,35,2,4,2,4,1
2,19,0,2,1,35,2,4,1,1,0
1,4,0,1,15,54,5,4,2,3,1
1,6,0,1,15,54,5,4,2,1,1
1,28,0,1,15,44,1,1,1,1.5,0
2,9,0,1,4,0,5,4,8,14,1
1,1,0,1,15,36,5,4,1,13,1
1,1,0,1,15,36,5,4,1,8,0
1,2,0,1,15,36,5,4,1,0,0
3,1,3,1,15,44,1,4,1,0,0
1,49,3,1,15,38,4,2,4,5,0
1,29,0,1,15,38,5,4,2,3,1
2,16,0,1,15,19,2,4,2,15,1
1,5,0,1,14,55,2,4,1,5,1
1,20,3,2,13,37,5,4,6,6,1
2,2,0,1,15,44,1,4,1,0,0
2,10,3,1,15,44,1,3,1,0.5,1
0,100,0,1,14,55,2,4,3,18,0
0,24,0,1,15,44,3,1,1,6,0
1,4,0,2,1,28,2,4,3,18,1
0,16,3,1,15,44,1,2,1,0,0
0,5,3,1,11,44,1,4,5,27,1
0,1,0,2,1,45,2,4,4,13,1
1,4,0,1,15,38,5,4,3,20.5,1
1,1,0,1,14,55,2,4,3,21,1
1,7,0,1,15,0,5,1,1,3,0
0,1,0,1,15,36,5,4,3,0,0
1,10,0,2,11,17,1,4,0,0,0
1,2,0,2,1,35,2,4,2,3,1
2,20,0,1,15,6,5,4,2,9,1
1,3,3,1,15,44,1,4,2,1.5,1
1,27,0,1,15,0,5,2,3,4.5,0
2,7,0,1,15,0,5,4,6,5.5,1
1,4,0,1,4,0,5,4,1,0,0
2,11,0,1,15,52,5,4,1,3,1
0,46,3,1,15,38,2,3,2,7,0
1,7,3,1,15,1,1,4,3,9.5,1
1,4,0,1,15,44,3,1,2,1,0
1,6,3,1,15,44,1,4,1,23,1
1,1,0,1,7,52,2,4,2,0,0
1,37,3,1,15,44,1,2,1,4,0
0,999,3,1,15,36,5,4,0,0,0
1,3,3,2,1,28,2,4,1,0.5,1
2,1,0,1,15,0,5,3,1,5,0
1,41,0,1,15,0,5,3,9,23,0
0,13,0,1,3,43,2,1,1,9,0
1,1,3,1,7,65,2,4,1,13,1
1,9,3,2,13,37,5,4,5,15.5,1
1,30,3,1,15,44,1,1,1,6,0
1,27,0,1,7,52,2,2,1,2,0
2,3,0,1,15,0,5,4,1,6,1
2,26,0,1,15,0,5,3,1,5,0
2,41,0,1,15,0,5,3,1,12.5,0
0,36,0,1,15,0,5,3,2,6,0
1,19,3,1,15,44,1,2,2,12,0
0,4,0,1,15,41,5,4,2,9,1
1,23,3,1,15,26,1,4,1,1.8,1
1,5,0,1,15,15,5,4,2,3.5,1
0,1,3,1,15,25,1,4,1,6,1
1,24,0,1,15,23,5,2,1,5.5,0
1,10,0,1,15,0,5,3,2,1,0
1,6,0,1,5,10,5,4,1,0.6,1
1,5,0,1,5,44,1,4,1,7,1
0,999,0,1,4,0,5,4,1,5,0
0,13,0,1,14,55,2,4,4,5,1
0,27,0,1,15,10,2,3,1,3,0
1,1,0,1,15,48,5,4,4,24,1
1,2,0,1,15,36,5,4,1,8,1
1,6,0,2,1,35,2,4,2,0,1
1,7,0,2,1,35,2,4,3,0,0
2,21,0,2,1,35,2,4,3,0,0
0,4,0,2,1,32,2,4,3,9,1
1,2,3,2,1,35,2,4,3,1,1
1,1,0,1,5,38,5,4,3,0.7,1
1,1,0,1,15,62,5,4,1,9,1
1,5,0,1,15,62,5,4,1,2,1
1,3,0,1,15,62,5,4,1,3,1
1,1,3,1,15,44,1,4,1,8.5,1
1,10,0,1,15,44,1,4,2,1.5,1
1,51,0,1,4,0,5,3,3,0,0
1,4,0,1,15,62,5,4,1,2,1
1,2,0,1,15,62,5,4,3,2,1
1,9,0,2,6,19,2,4,4,2,1
1,1,0,1,15,41,5,4,2,35,1
1,3,0,2,1,45,2,4,4,4,1
1,5,0,2,1,45,2,4,4,3,1
0,999,3,1,7,65,2,4,1,34,1
0,32,0,1,5,44,3,1,3,39,0
2,2,3,1,15,38,5,3,1,31.4,1
2,11,0,1,15,23,2,2,3,3,0
0,1,0,2,1,45,2,4,5,31,1
2,1,0,1,7,65,2,1,1,10,0
0,45,0,1,15,38,3,1,4,9,0
0,999,0,1,15,25,1,4,1,15,1
0,999,0,2,1,45,2,4,4,24.5,1
1,1,3,1,15,44,1,4,3,2,1
1,1,3,1,15,44,1,4,1,1.3,1
0,17,0,1,15,44,4,2,2,4,0
1,1,3,1,15,25,1,4,2,8,1
0,11,0,1,15,1,2,3,3,0.5,0
1,1,0,1,7,52,2,4,1,22,1
1,1,0,1,15,41,5,4,2,5.5,1
0,30,0,1,5,10,2,3,1,5,0
0,999,0,1,7,65,2,4,1,2,1
0,999,0,1,7,65,2,4,1,5,1
0,999,0,2,6,40,5,4,2,1,1
0,3,0,1,15,41,5,4,1,6,1
1,28,0,1,7,52,2,4,1,16,1
0,999,0,1,4,48,5,4,1,2.5,1
0,999,0,1,7,52,2,4,1,6,1
1,5,3,1,15,44,1,4,1,0.5,1
1,1,0,1,4,0,5,4,12,0,0
1,12,0,1,5,48,5,4,6,0,1
2,10,0,1,15,44,1,3,3,7,0
0,999,0,1,5,48,5,4,3,3,1
0,999,0,1,3,12,2,4,2,0,0
0,999,0,1,15,62,5,4,1,1,1
0,999,0,1,4,52,5,4,1,2,1
0,1,0,1,15,38,5,4,1,7,1
0,999,0,1,4,48,5,4,13,4,1
1,8,0,1,4,10,5,4,1,2,1
1,9,0,1,4,10,5,4,1,2,1
0,999,0,1,15,26,1,4,1,0,1
2,1,0,1,15,23,5,4,2,0,1
0,999,0,1,7,11,2,4,1,0,0
0,999,0,1,7,27,1,4,1,0,1
1,20,3,1,15,44,4,2,4,1,0
1,13,3,1,3,61,2,2,2,9,0
2,12,0,1,15,38,5,1,2,5,0
2,26,3,1,15,44,1,2,2,7,0
1,4,0,1,4,0,5,4,1,0,1
1,22,0,1,15,23,5,2,3,3,0
0,68,0,1,14,55,2,2,1,0,1
1,10,3,1,15,38,5,4,2,1.1,1
2,3,0,1,15,44,1,3,2,22,0
1,33,3,1,15,44,3,1,3,2,0
2,5,0,1,15,44,1,3,3,3.1,0
1,11,3,1,11,44,1,4,3,8,1
1,14,3,1,15,44,1,2,3,3.3,1
1,56,0,1,14,55,2,4,3,0,0
0,64,0,1,14,55,2,2,2,2,0
1,23,3,1,15,44,1,2,1,5,0
1,13,3,1,3,61,4,2,5,6.7,1
2,1,0,1,15,10,5,3,2,1,0
1,20,0,1,15,10,2,3,1,4,0
2,19,0,2,1,35,2,4,1,1,0
1,6,0,1,15,54,5,4,2,1,1
1,28,0,1,15,44,1,1,1,1.5,0
2,9,0,1,4,0,5,4,8,14,1
1,49,3,1,15,38,4,2,4,5,0
1,29,0,1,15,38,5,4,2,3,1
2,16,0,1,15,19,2,4,2,15,1
1,5,0,1,14,55,2,4,1,5,1
0,67,0,1,14,55,2,3,8,1,0
2,2,0,1,15,44,1,4,1,0,0
2,10,3,1,15,44,1,3,1,0.5,1
4,20,0,1,15,48,5,3,1,55,0
0,100,0,1,14,55,2,4,3,18,0
0,24,0,1,15,44,3,1,1,6,0
1,4,0,2,1,28,2,4,3,18,1
1,24,0,2,1,28,2,4,1,5,1
0,16,3,1,15,44,1,2,1,0,0
1,4,0,1,15,38,5,4,3,20.5,1
1,25,0,1,15,60,5,3,4,0.4,0
0,62,0,1,15,36,5,4,1,2,0
1,1,0,1,14,55,2,4,3,21,1
1,7,0,1,15,0,5,1,1,3,0
1,2,0,2,1,35,2,4,2,3,1
2,20,0,1,15,6,5,4,2,9,1
1,27,0,1,15,0,5,2,3,4.5,0
2,7,0,1,15,0,5,4,6,5.5,1
1,4,0,1,4,0,5,4,1,0,0
2,11,0,1,15,52,5,4,1,3,1
0,46,3,1,15,38,2,3,2,7,0
1,7,3,1,15,1,1,4,3,9.5,1
1,4,0,1,15,44,3,1,2,1,0
0,3,3,1,15,41,5,4,1,5.5,1
1,1,0,1,7,52,2,4,2,0,0
1,37,3,1,15,44,1,2,1,4,0
0,999,3,1,15,55,2,4,0,0,0
2,1,0,1,15,0,5,3,1,5,0
1,41,0,1,15,0,5,3,9,23,0
0,13,0,1,3,43,2,1,1,9,0
1,30,3,1,15,44,1,1,1,6,0
1,27,0,1,7,52,2,2,1,2,0
2,3,0,1,15,0,5,4,1,6,1
2,26,0,1,15,0,5,3,1,5,0
2,41,0,1,15,0,5,3,1,12.5,0
0,36,0,1,15,0,5,3,2,6,0
1,2,0,1,15,48,5,4,1,1,1
1,83,0,1,15,15,5,1,1,2,1
0,999,0,1,12,48,5,4,2,4,1
1,19,3,1,15,44,1,2,2,12,0
1,23,3,1,15,26,1,4,1,1.8,1
1,5,0,1,15,15,5,4,2,3.5,1
0,1,3,1,15,25,1,4,1,6,1
1,24,0,1,15,23,5,2,1,5.5,0
1,10,0,1,15,0,5,3,2,1,0
1,6,0,1,5,10,5,4,1,0.6,1
0,999,0,1,4,0,5,4,1,5,0
0,999,0,1,15,36,5,4,1,0,0
0,13,0,1,14,55,2,4,4,5,1
0,27,0,1,15,10,2,3,1,3,0
2,3,0,1,15,36,5,4,1,8,0
2,21,0,2,1,35,2,4,3,0,0
0,4,0,2,1,32,2,4,3,9,1
1,1,0,1,15,44,1,4,2,10.5,1
1,1,0,1,5,38,5,4,3,0.7,1
1,51,0,1,4,0,5,3,3,0,0
0,2,0,1,15,62,5,4,2,0.4,1
1,8,0,1,15,62,3,1,4,14.7,1
1,1,0,1,15,41,5,4,2,35,1
0,2,0,2,1,45,2,4,5,12.5,1
0,32,0,1,5,44,3,1,3,39,0
2,2,3,1,15,38,5,3,1,31.4,1
1,1,0,2,1,20,2,4,1,1.8,1
2,11,0,1,15,23,2,2,3,3,0
0,1,0,1,14,55,2,4,1,0,1
0,1,0,1,14,55,2,4,4,38,1
2,1,0,1,7,65,2,1,1,10,0
0,45,0,1,15,38,3,1,4,9,0
0,999,0,1,14,55,2,4,1,13,1
0,999,0,2,1,45,2,4,4,24.5,1
1,1,3,1,15,44,1,4,3,2,1
1,1,3,1,15,44,1,4,1,1.3,1
0,17,0,1,15,44,4,2,2,4,0
1,1,3,1,15,25,1,4,2,8,1
0,11,0,1,15,1,2,3,3,0.5,0
1,1,0,1,15,41,5,4,2,5.5,1
1,1,0,1,15,62,5,4,2,5,1
0,30,0,1,5,10,2,3,1,5,0
0,1,0,2,1,45,2,4,7,36,1
2,10,0,1,15,44,1,3,3,7,0
0,2,0,1,15,62,5,4,2,2,1
0,999,0,1,15,36,5,4,1,34,1
1,10,0,1,15,0,5,3,2,1.5,1
1,4,0,1,15,44,1,4,2,2.5,1
0,999,0,1,14,55,2,4,2,0.5,1
1,4,0,1,15,62,5,1,2,4.5,1
1,3,0,1,15,0,5,1,2,0.4,1
1,3,3,1,11,44,1,4,1,12,1
0,4,0,1,14,55,2,4,1,5,1
1,7,0,1,3,12,2,4,2,1.225,1
1,10,0,1,15,44,1,4,1,5,1
0,999,0,1,11,44,1,4,3,3,1
1,1,0,1,5,0,5,4,6,12,1
1,1,3,1,15,1,1,4,3,0,1
1,3,3,1,15,44,1,4,2,3,1
1,1,0,1,15,62,5,4,1,5,1
1,1,0,1,15,0,5,4,4,11,1
1,17,0,1,15,62,5,1,2,3,0
1,1,0,1,4,65,2,4,2,2.2,1
0,3,0,1,4,65,2,3,2,10,0
0,1,0,2,1,45,2,4,2,5,1
1,6,0,1,7,65,2,4,1,3,1
1,7,0,1,7,65,2,4,2,23,1
0,53,0,1,15,44,1,4,2,10,1
0,10,0,1,15,0,5,1,1,7,0
1,1,0,1,7,52,2,4,1,22,1
1,1,0,1,15,18,5,4,11,9,0
0,5,3,2,13,0,5,4,1,0,0
1,4,3,1,15,44,1,4,1,3.5,1
1,3,0,1,15,44,1,4,1,0,0
1,1,3,1,15,44,1,4,2,11,1
0,999,0,1,14,55,2,4,1,10,1
1,2,0,1,15,11,5,4,1,22,1
1,13,0,1,15,11,5,4,1,9,1
2,2,0,1,7,27,1,4,1,8,1
0,21,0,2,2,46,2,4,5,1.2,1
1,1,0,1,11,44,1,4,3,0.5,0
1,2,3,1,11,44,1,4,1,10,1
0,999,0,1,4,0,5,4,1,2,1
1,8,0,1,7,10,2,4,1,6,1
0,999,0,2,13,64,5,4,3,2,1
0,1,0,2,1,45,2,4,3,3,1
0,1,0,2,1,45,2,4,1,5.5,1
0,1,0,2,1,45,2,4,4,5,1
0,1,0,2,1,45,2,4,7,7.5,1
0,999,0,1,5,0,5,4,1,6,1
1,1,0,1,7,10,2,4,1,1,1
1,28,0,1,7,52,2,4,1,8,1
0,999,0,1,3,43,2,4,1,4,1
1,11,3,1,15,44,1,4,1,2.5,1
0,1,0,2,2,46,2,4,6,2.8,1
1,15,0,1,14,55,2,4,3,6,1
0,4,0,2,1,45,2,4,3,1,1
1,25,0,1,15,23,5,2,2,2.5,0
0,999,0,1,14,55,2,4,1,4,1
0,999,0,1,11,1,1,4,2,2.5,1
1,20,3,1,15,44,4,2,4,1,0
1,38,0,1,15,0,5,3,7,4,0
1,13,3,1,3,61,2,2,2,9,0
2,12,0,1,15,38,5,1,2,5,0
2,26,3,1,15,44,1,2,2,7,0
1,22,0,1,15,23,5,2,3,3,0
0,68,0,1,14,55,2,2,1,0,1
1,10,3,1,15,38,5,4,2,1.1,1
2,3,0,1,15,44,1,3,2,22,0
1,33,3,1,15,44,3,1,3,2,0
2,5,0,1,15,44,1,3,3,3.1,0
1,14,3,1,15,44,1,2,3,3.3,1
1,23,3,1,15,44,1,2,1,5,0
1,13,3,1,3,61,4,2,5,6.7,1
2,1,0,1,15,10,5,3,2,1,0
0,13,0,1,15,10,2,3,1,21.5,0
1,43,3,1,5,44,4,2,2,3,0
1,20,0,1,15,10,2,3,1,4,0
2,19,0,2,1,35,2,4,1,1,0
1,28,0,1,15,44,1,1,1,1.5,0
2,8,0,1,15,36,5,4,1,0,0
2,8,0,1,15,36,5,4,1,0,0
1,8,0,1,15,36,5,4,1,0,0
2,1,0,1,15,36,5,4,1,0,0
1,49,3,1,15,38,4,2,4,5,0
1,29,0,1,15,38,5,4,2,3,1
0,999,0,1,14,55,2,4,1,35,0
2,10,3,1,15,44,1,3,1,0.5,1
4,20,0,1,15,48,5,3,1,55,0
1,18,0,1,15,36,5,4,1,0,0
2,8,0,1,15,36,5,4,1,0,0
2,8,0,1,15,36,5,4,1,0,0
1,11,0,1,15,36,5,4,1,0,0
0,24,0,1,15,44,3,1,1,6,0
2,5,0,1,15,36,5,4,1,0,0
0,16,3,1,15,44,1,2,1,0,0
1,4,0,1,15,38,5,4,3,20.5,1
1,25,0,1,15,60,5,3,4,0.4,0
1,7,0,1,15,0,5,1,1,3,0
2,2,0,1,15,36,5,4,1,0,0
1,27,0,1,15,0,5,2,3,4.5,0
0,46,3,1,15,38,2,3,2,7,0
1,4,0,1,15,44,3,1,2,1,0
1,37,3,1,15,44,1,2,1,4,0
2,1,0,1,15,0,5,3,1,5,0
1,41,0,1,15,0,5,3,9,23,0
0,13,0,1,3,43,2,1,1,9,0
1,30,3,1,15,44,1,1,1,6,0
1,27,0,1,7,52,2,2,1,2,0
2,26,0,1,15,0,5,3,1,5,0
2,41,0,1,15,0,5,3,1,12.5,0
0,36,0,1,15,0,5,3,2,6,0
1,83,0,1,15,15,5,1,1,2,1
0,15,0,1,15,0,5,4,4,0.3,1
1,19,3,1,15,44,1,2,2,12,0
1,23,3,1,15,26,1,4,1,1.8,1
0,999,0,1,15,6,2,3,3,18,1
1,24,0,1,15,23,5,2,1,5.5,0
0,18,0,1,14,55,2,4,1,0,0
1,11,0,1,14,55,2,4,1,22,0
1,10,0,1,15,0,5,3,2,1,0
0,999,0,1,4,0,5,4,1,5,0
2,21,0,2,1,35,2,4,3,0,0
1,1,0,1,5,38,5,4,3,0.7,1
1,4,0,1,15,41,5,1,2,15,0
1,51,0,1,4,0,5,3,3,0,0
0,2,0,1,15,62,5,4,2,0.4,1
1,8,0,1,15,62,3,1,4,14.7,1
0,1,0,1,14,55,2,4,1,26,0
0,10,0,1,14,55,2,4,1,18,0
0,32,0,1,5,44,3,1,3,39,0
2,2,3,1,15,38,5,3,1,31.4,1
1,1,0,2,1,20,2,4,1,1.8,1
2,11,0,1,15,23,5,2,3,3,0
2,1,0,1,7,65,2,1,1,10,0
0,45,0,1,15,38,3,1,4,9,0
0,1,0,2,1,45,2,3,2,18.1,1
1,1,3,1,15,44,1,4,3,2,1
1,1,3,1,15,44,1,4,1,1.3,1
0,17,0,1,15,44,4,2,2,4,0
0,11,0,1,15,1,2,3,3,0.5,0
1,1,0,1,15,62,5,4,2,5,1
0,30,0,1,5,10,2,3,1,5,0
2,10,0,1,15,44,1,3,3,7,0
1,10,0,1,15,0,5,3,2,1.5,1
1,4,0,1,15,44,1,4,2,2.5,1
1,4,0,1,15,62,5,1,2,4.5,1
1,3,0,1,15,0,5,1,2,0.4,1
1,10,0,1,15,44,1,4,1,5,1
1,30,0,1,15,44,1,3,1,22,0
1,1,0,1,15,41,5,4,1,5.5,1
1,5,0,1,15,44,1,4,3,1.4,1
1,3,3,1,15,44,1,4,2,3,1
1,9,0,1,15,23,5,2,2,1,1
1,17,0,1,15,62,5,1,2,3,0
1,1,0,1,4,65,2,4,2,2.2,1
0,3,0,1,4,65,2,3,2,10,0
0,53,0,1,15,44,1,4,2,10,1
0,10,0,1,15,0,5,1,1,7,0
1,1,0,1,15,18,5,4,11,9,0
1,18,0,1,15,44,1,1,2,10,0
1,6,0,1,15,62,5,1,3,11,0
1,1,3,1,3,63,2,1,3,1,1
1,2,0,1,15,11,5,4,1,22,1
1,42,0,1,15,44,3,1,1,5,0
0,21,0,2,2,46,2,4,5,1.2,1
1,9,0,1,7,10,2,4,1,8.6,1
1,6,3,1,7,11,2,4,1,8,1
1,2,3,2,1,20,2,1,2,8.225,1
1,68,0,2,12,2,2,4,2,0.2,1
1,1,0,2,1,39,2,4,6,4.2,1
3,39,0,1,3,12,2,4,1,3,0
0,1,0,2,2,46,2,4,6,2.8,1
1,2,0,1,5,0,5,4,1,1,1
0,19,0,1,15,10,2,3,2,4.5,0
0,23,3,2,1,32,2,2,5,4,1
0,999,0,2,1,32,2,4,0,0,0
1,38,0,1,7,10,2,3,2,11.175,1
1,1,0,2,13,37,5,4,1,0.2,1
1,2,0,2,13,37,5,4,2,0.6,1
1,25,0,1,15,23,5,2,2,2.5,0
2,11,0,1,15,0,5,2,1,5,0
0,10,0,1,14,55,2,3,5,3.1,1
1,2,3,1,15,44,1,4,1,16,1
0,31,0,2,1,32,2,3,4,70.1,1
1,26,0,1,7,10,2,4,1,3,1
1,29,3,1,15,44,3,1,1,0,0
1,1,3,1,11,44,1,4,1,9,1
1,8,0,1,15,10,5,3,2,3.5,1
1,17,0,1,15,11,5,4,1,0,1
1,18,0,1,15,11,5,4,1,0,1
1,40,0,1,7,27,1,4,1,10.25,1
1,14,3,1,7,11,2,2,1,70,1
1,15,3,1,7,11,2,2,1,27.475,1
0,999,3,1,15,44,1,4,1,1.2,1
1,3,0,1,7,11,3,1,1,42,1
0,31,0,2,1,32,2,3,1,14.6,1
1,27,0,1,3,12,2,2,2,5.5,0
1,1,3,1,15,38,5,4,3,5.4,1
0,1,0,1,3,58,2,3,2,4,1
1,6,0,1,15,6,5,3,2,0,0
0,1,0,2,1,45,2,4,1,5.5,1
1,23,3,1,15,44,1,3,2,1.6,1
1,7,3,1,15,44,1,4,1,6,1
1,9,0,1,3,43,2,1,3,8,0
1,1,0,1,15,44,1,4,2,2.1,1
1,2,0,1,15,1,1,4,3,2,1
1,3,0,1,15,1,1,4,2,2,1
1,6,0,1,15,44,1,4,3,3.2,1
0,4,0,1,7,65,2,4,1,8,1
1,1,0,1,7,65,2,4,2,10.8,1
1,22,3,1,7,65,2,3,3,1,0
1,12,0,1,5,44,1,4,5,1,1
0,42,0,1,7,65,2,4,1,2.1,1
1,24,0,1,7,11,2,2,1,13,0
0,999,0,1,7,65,2,4,1,0,0
1,25,0,1,3,12,4,2,2,68,0
1,38,0,1,11,44,3,1,1,4,0
1,1,3,1,15,38,5,2,2,13.9,1
1,9,0,1,15,11,5,4,1,9,1
1,8,0,1,3,43,2,1,4,8,0
0,16,0,1,3,43,3,1,3,0,0
1,7,3,1,15,44,4,2,4,11.45,1
1,5,3,1,15,41,5,3,1,0.4,1
1,11,0,1,15,54,5,4,2,3.8,1
1,10,0,1,5,44,1,1,1,4.3,1
1,10,0,1,15,10,5,4,2,1.9,1
0,18,0,1,5,65,2,3,2,8,0
1,10,0,1,5,65,2,3,1,8,1
1,1,0,1,5,44,1,4,1,3,1
1,1,0,1,5,0,5,4,2,1,1
0,1,0,1,3,58,2,3,1,4.5,1
1,2,0,1,15,0,5,4,2,3.5,1
1,2,0,1,15,44,1,4,2,3,1
0,999,0,1,14,55,2,4,2,20,1
0,1,0,1,14,55,2,4,6,100.8,1
1,6,3,1,15,0,4,2,4,2,0
0,37,0,1,15,44,3,1,2,3,0
0,10,0,2,1,32,2,3,1,1.4,1
1,1,0,1,7,52,2,4,1,0,1
1,1,0,1,7,52,2,4,1,15,1
1,1,0,1,7,65,2,4,1,5,1
1,18,3,1,15,44,1,2,2,6,1
0,999,0,1,15,15,5,4,3,1.4,1
